0,0.00151147
1,0.000186952
2,5.19502e-05
3,2.43794e-05
4,1.41325e-05
5,8.57906e-06
6,5.29938e-06
7,3.42381e-06
8,2.25055e-06
9,1.46229e-06
10,9.40472e-07
11,5.99509e-07
12,3.79213e-07
13,2.3826e-07
14,1.48827e-07
15,9.24934e-08
16,5.72304e-08
17,3.52766e-08
18,2.16728e-08
19,1.32774e-08
20,8.1145e-09
21,4.92625e-09
22,2.99388e-09
23,2.97185e-09
24,3.05595e-09
25,2.46389e-09
26,1.3689e-09
27,5.98625e-10
28,3.0632e-10
29,1.54273e-10
30,5.81683e-11
31,1.97283e-11
32,2.03688e-11
33,1.02159e-11
34,2.46901e-12
35,2.58826e-12
36,1.21783e-12
37,3.60201e-13
38,1.82685e-13
39,1.78617e-13
